,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
13,0.12953295,0.94490236,0.9740632,0.04666562,0.29385296,0.684658,0.05901617,0.5285998,0.20223898,0.98251295,0.32352838,0.74202293,0.9653926,0.9425041,0.00046289514,0.83624125,0.26528183,0.8351297,0.905639,0.7750463,0.92520267,0.06840805,0.24204183,0.083199635,0.82699245,0.7023832,0.08257903,0.15242547,0.9909757,0.98322093,0.98193145,0.0055841603,0.11631221,0.83506525,0.40650067,0.023630893,0.008067942,0.07341315,0.0022578528,0.5626098,0.86568046,0.020438548,0.06938318,0.734992,0.00039307203,0.34513357,0.6396964,0.97806746,0.9567455,0.97224325
15,0.83594084,0.8192029,0.8254614,0.8137534,0.8610354,0.8234028,0.8320794,0.9023393,0.8422394,0.7236118,0.81625414,0.7500216,0.7198621,0.7949787,0.7213929,0.8375857,0.84529465,0.86913854,0.84053946,0.8413048,0.85658544,0.8540071,0.8861807,0.8997844,0.8317547,0.7162751,0.8093414,0.85337585,0.74466777,0.79441094,0.83657,0.7731614,0.8430502,0.87327784,0.8167449,0.8087282,0.7828933,0.89965934,0.73611295,0.8270035,0.78106403,0.8111074,0.82447463,0.8331589,0.6898756,0.89217705,0.90024424,0.76739156,0.7930443,0.8060243
16,0.83392507,0.8560547,0.8224839,0.79034865,0.83886206,0.8386783,0.81336397,0.9353518,0.8053913,0.73156136,0.8245979,0.6893261,0.7366245,0.807804,0.7784026,0.8246571,0.8494805,0.89836895,0.79926765,0.86170095,0.86011845,0.8659012,0.92049074,0.93692863,0.86099577,0.68163973,0.7899239,0.8324295,0.7822665,0.7819339,0.8130013,0.84089726,0.827845,0.90504944,0.8100563,0.79747635,0.8031113,0.9309274,0.7933958,0.83558416,0.78068405,0.78598446,0.8123363,0.83482856,0.8083431,0.91996735,0.9350828,0.75518113,0.75682086,0.7995049
17,0.78734714,0.813047,0.78511137,0.72397596,0.7144589,0.6842618,0.79035074,0.889459,0.7380457,0.81825405,0.6356779,0.76372397,0.9105597,0.71329236,0.41739252,0.6070817,0.72961676,0.90564185,0.8753727,0.73736674,0.8118414,0.87088627,0.8769172,0.8582537,0.8528867,0.65995306,0.6479785,0.77715373,0.7400041,0.79779637,0.8337238,0.86907226,0.74058086,0.8943672,0.74998474,0.67353505,0.85262036,0.87230706,0.5254469,0.7805627,0.7443282,0.7122208,0.71960217,0.70798856,0.5739825,0.8731226,0.87494385,0.8899331,0.8208669,0.75756127
19,0.8046757,0.8657877,0.8041617,0.7678018,0.7948552,0.7495572,0.8157559,0.91438586,0.8663646,0.73360366,0.74791455,0.67017066,0.78530335,0.7643246,0.69137365,0.7602035,0.7765037,0.8952781,0.8085438,0.8196896,0.8645841,0.8643741,0.8928619,0.9078129,0.8509083,0.6324409,0.72946584,0.8152843,0.75902516,0.79048365,0.85345966,0.86822325,0.73879063,0.89520586,0.7837811,0.75219524,0.8623157,0.90638936,0.65591735,0.8244676,0.7328938,0.7444909,0.7692861,0.7600812,0.70357895,0.9004231,0.9153212,0.7838013,0.7736735,0.80059963
20,0.7792756,0.8293138,0.8251479,0.73581,0.78734165,0.73740727,0.7860284,0.9180843,0.85204905,0.75751835,0.71617424,0.6548175,0.80269825,0.7376853,0.700964,0.7310299,0.76213413,0.8887512,0.80545974,0.769442,0.83983,0.84087884,0.90664876,0.91295695,0.82839304,0.60163116,0.7148776,0.80441266,0.772109,0.80968636,0.86112463,0.8858255,0.7507187,0.8967777,0.76887727,0.74297327,0.8664114,0.9117162,0.71607155,0.7818096,0.7248034,0.7418563,0.74570864,0.75679123,0.74338055,0.89768714,0.9093815,0.79676104,0.80718964,0.79633695
21,0.8052735,0.8372273,0.816199,0.7390705,0.78820676,0.7372712,0.8006055,0.90987027,0.87687075,0.7561259,0.6953963,0.67372,0.7939977,0.7605663,0.66147864,0.74269766,0.7759759,0.875561,0.7987314,0.7584658,0.8204049,0.85454816,0.8992482,0.8759978,0.82807225,0.591573,0.7384433,0.8042132,0.7649965,0.8216714,0.8822953,0.8745023,0.75672305,0.8758376,0.78236264,0.73452413,0.8708228,0.8896546,0.65729356,0.8033383,0.7491621,0.77484953,0.74986815,0.7431822,0.714694,0.8775256,0.8705681,0.7894952,0.81021625,0.84789205
23,0.78752875,0.86017376,0.84529656,0.7146931,0.8099756,0.6419792,0.7967503,0.8896281,0.8816554,0.7276843,0.67760265,0.6663051,0.8127467,0.7763798,0.5892811,0.7692714,0.671628,0.8538006,0.8842192,0.81448084,0.8477996,0.81953067,0.8825008,0.8760905,0.8071189,0.6558001,0.7356708,0.80030674,0.7875017,0.7986244,0.85320634,0.8704841,0.76737016,0.8658806,0.77371913,0.6638643,0.90736014,0.8705188,0.5943002,0.83782786,0.6799492,0.7344626,0.73408836,0.76561284,0.5978484,0.87178034,0.87882954,0.80228066,0.8459228,0.74716175
25,0.79912275,0.61013615,0.6346669,0.39173502,0.7997945,0.6235268,0.7703476,0.88663745,0.38986656,0.86255413,0.72772074,0.5940261,0.8079537,0.94815385,0.014377788,0.8371888,0.6767687,0.8519433,0.7480446,0.91109943,0.42087808,0.7488675,0.86250216,0.85113674,0.76710576,0.61944866,0.6836958,0.8039352,0.9611877,0.9504221,0.78195876,0.09856844,0.61709535,0.8706912,0.88599896,0.44341403,0.5240535,0.866823,0.026925018,0.8800491,0.616322,0.6082395,0.6848067,0.71045446,0.005258594,0.8755302,0.83368796,0.8432981,0.6924948,0.6936864
26,0.8211376,0.8389977,0.7783316,0.7631656,0.807774,0.79182136,0.8001237,0.9235584,0.8742877,0.68887705,0.801126,0.66995066,0.6719284,0.78981906,0.7386558,0.79761076,0.8256612,0.866447,0.80880934,0.849646,0.86052364,0.8314321,0.89849573,0.9207315,0.81547755,0.69489807,0.7514077,0.84073555,0.72738934,0.7657557,0.86572206,0.8306782,0.7928499,0.8627008,0.81688815,0.729307,0.8123167,0.9133978,0.67686695,0.81590784,0.70379424,0.81133074,0.7560397,0.7814919,0.77369434,0.9017203,0.9181126,0.71031547,0.76830816,0.8375671
