 X Y
4096274 13.221069 -0.03311101
4482016 -22.36278 8.633274
1769747 -3.8667226 -34.218033
1492579 13.221193 -0.033111684
5243889 -22.36278 8.633274
3237177 -3.8667226 -34.218033
4129052 13.221218 -0.033111338
4453289 -38.718708 -7.6748576
3178783 -22.36278 8.633274
1001935 13.221069 -0.033110995
3959104 -21.465288 -20.941513
4489505 -22.36278 8.633274
1375813 -3.8667226 -34.218033
1853662 13.22107 -0.03311101
2916641 13.221218 -0.033111326
5495393 -22.36278 8.633274
4555045 13.219931 -0.033103894
4262922 -22.36278 8.633274
1212716 -22.36278 8.633274
5398326 -38.71869 -7.676423
1962217 -48.18103 11.3500595
5112110 13.221193 -0.033111684
2730279 -2.30557 41.852497
5308731 13.221218 -0.033111367
311582 -22.36278 8.633274
917820 -22.36278 8.633274
796827 13.21993 -0.03310393
1848621 -21.624083 -21.055426
98621 13.219931 -0.033103876
5392470 -3.8667226 -34.218033
2097470 13.221069 -0.03311104
1442112 -22.36278 8.633274
5352723 -3.8667226 -34.218033
1080899 -22.36278 8.633274
3244359 13.221194 -0.033111703
4552459 -3.8667226 -34.218033
1638734 13.2210455 -0.033111025
1704274 -20.546196 -20.425135
2207796 -20.546196 -20.425135
2198228 -22.36278 8.633274
1091304 -22.36278 8.633274
660132 -20.546196 -20.425135
4817240 13.2210455 -0.033111025
3336353 -12.404413 34.680473
721241 -22.36278 8.633274
5410614 13.221218 -0.033169657
4596920 -48.182484 11.349833
2687324 7.616957 -1.9824892
2346681 -22.36278 8.633274
2097501 -21.624083 -21.055426
3867984 -22.36278 8.633274
510094 -22.36278 8.633274
1405617 12.339872 5.1933928
5139787 11.054904 -0.7918673
5112159 13.49245 -5.725875
4055008 -22.36278 8.633274
3080548 13.188913 -4.987935
3442574 -39.122993 23.40523
4424038 10.274414 0.5528336
1200064 -2.256139 31.335827
5407079 12.624096 -1.5552313
782455 -22.36278 8.633274
655721 -3.879795 -34.20212
431361 -22.36278 8.633274
394867 -22.36278 8.633274
1424692 -22.36278 8.633274
4489578 -22.36278 8.633274
4504673 15.50164 -3.4546397
4364759 -39.123116 23.405682
4260210 -22.36278 8.633274
2923565 3.0120661 3.1907625
131444 -3.8758526 -34.176517
5282547 9.271793 5.7011395
1523451 -30.707964 33.61231
2128890 11.734652 0.80102736
4456822 9.263773 1.4306139
5177189 -22.36278 8.633274
4325755 14.112747 -0.45293683
3676373 -2.30557 41.852497
4948354 -40.62672 -3.4017854
5163182 14.443441 -1.3443606
2129251 22.423435 -3.0239155
4094980 12.731711 -4.2435565
1580944 17.79044 5.0359697
4099301 8.220465 5.1653094
4791534 -37.636204 -25.8921
2820501 21.126612 -0.7583824
4864590 -37.635803 -25.892008
3223026 -3.8667226 -34.218033
557449 12.051286 0.3822076
