Cluster	Id
-1	2266
0	2835
-1	2296
0	2252
0	2175
0	481
0	4559
-1	4172
2	703
0	4857
3	5418
-1	4291
0	3040
0	3319
-1	1396
0	3919
0	1615
0	4921
0	5506
0	3452
0	5524
0	1939
0	3878
0	2658
0	5636
0	3572
-1	5482
0	5515
0	5689
0	892
0	5508
0	1052
4	5925
0	4205
0	5955
2	97
0	70
1	239
5	297
-1	93
0	1453
0	2141
0	26
3	66
0	72
2	87
2	282
2	352
2	466
2	423
2	319
0	45
-1	538
3	1246
-1	908
0	1257
3	713
0	935
-1	1664
2	2145
5	1992
0	2198
0	2344
5	189
0	2470
2	2998
0	3204
-1	3445
0	3699
5	5014
0	4852
3	5498
1	217
0	269
1	397
2	1220
2	439
0	361
3	16
0	200
2	518
-1	594
1	605
3	612
4	619
6	620
0	593
0	491
2	741
-1	742
2	751
3	765
1	862
0	775
2	699
3	887
0	199
0	1222
4	1223
1	1226
0	621
0	468
4	1533
3	1537
2	1794
5	1833
0	493
0	1744
2	1902
2	1909
3	1910
1	1923
0	1937
1	1986
0	1990
0	3598
0	2006
2	2011
0	2030
0	2014
2	591
-1	2071
4	2108
0	616
0	1412
0	1394
-1	1593
0	2158
-1	546
0	2016
0	1204
0	1754
3	2207
0	1044
0	2063
0	1998
0	2229
0	2261
1	2048
0	1788
0	2224
0	1991
0	1527
-1	2221
0	1922
0	342
0	1757
1	2411
0	2419
0	1890
0	710
4	2555
3	2557
0	2552
0	2566
0	1675
0	2589
3	2615
-1	1886
0	1916
0	2194
6	2607
0	2310
0	25
0	2962
1	791
0	606
0	2498
0	3029
0	2784
3	3434
0	2961
-1	3453
0	2392
0	3219
2	3483
2	3472
0	1629
0	3624
1	160
-1	3628
0	2897
0	3923
0	3642
-1	1334
-1	4124
0	3120
0	3465
2	910
6	2512
0	3649
0	2839
0	4236
5	4264
0	3405
-1	3185
2	2618
0	4301
0	4238
0	4360
0	3545
0	4515
2	4384
0	705
2	5718
3	5913
0	4532
0	5917
3	5972
3	5973
3	5984
0	4608
0	1128
2	53
3	55
1	28
4	89
0	88
4	122
3	116
2	133
4	137
5	161
3	175
0	184
2	185
2	188
3	195
1	207
3	210
0	206
0	212
-1	179
3	232
0	235
-1	222
-1	153
0	243
-1	240
0	285
3	294
0	272
0	254
2	314
0	249
0	108
1	228
3	326
3	354
0	310
3	368
4	358
0	393
2	345
5	155
0	293
-1	410
1	418
3	429
2	365
0	449
0	460
3	473
6	424
0	378
2	440
-1	489
6	447
0	383
0	472
5	498
0	386
0	203
1	548
0	480
0	547
0	322
3	584
4	551
0	405
0	113
0	643
2	655
5	656
2	419
0	650
4	193
5	351
1	666
2	639
1	709
0	725
1	733
0	640
3	878
0	753
5	792
0	906
1	948
0	129
2	963
3	964
0	417
0	838
0	931
3	1041
3	881
0	533
4	945
0	209
2	1166
-1	1098
5	1011
3	1335
0	1268
0	152
0	283
0	1413
3	1428
0	1034
0	465
-1	1525
0	1596
2	1665
-1	1702
0	1686
3	1858
2	1982
0	2044
0	2097
-1	2205
5	2319
0	2404
0	2378
0	2397
3	2533
0	2231
-1	3050
0	2174
0	2943
0	3161
0	2291
3	4946
6	5428
4	5429
1	5432
1	284
-1	257
0	467
2	490
1	506
3	618
0	777
1	801
0	4244
-1	2877
2	375
0	1277
-1	1859
0	3744
2	3784
0	3756
0	3757
0	3759
0	3760
0	2840
0	69
4	263
2	231
2	527
4	686
2	941
4	1218
6	1219
2	1962
0	2822
0	363
-1	427
-1	644
1	788
0	786
0	1618
2	1809
0	1528
0	2080
0	1639
0	1878
0	1829
0	2192
2	2523
0	2328
0	2812
0	2859
0	2635
0	2940
0	2942
2	2845
0	3045
2	3190
0	2763
0	3233
0	3335
2	3250
0	3236
-1	3703
0	3828
0	3856
4	3659
0	3916
0	4163
0	3981
0	3429
2	4573
0	4315
0	4363
0	2165
0	4791
0	625
0	3837
4	3838
0	3746
0	4592
0	4838
0	5025
0	5013
5	4758
0	1731
2	5522
0	1746
0	4365
2	680
-1	780
3	1863
3	1985
3	2130
2	2128
-1	804
0	374
3	52
3	302
5	328
1	347
1	186
-1	476
0	256
5	411
2	829
2	784
4	891
3	1172
0	1846
0	2755
-1	4197
-1	2625
3	65
3	79
-1	246
2	248
3	267
2	371
2	458
3	528
0	387
-1	390
3	836
1	795
0	894
1	975
3	976
1	950
4	1030
2	1112
3	1136
3	1137
0	923
1	1090
3	1294
-1	1295
6	1299
0	380
3	1305
3	1314
0	95
4	1337
1	1328
3	1361
5	1362
3	1382
2	1393
3	1405
1	1406
3	1414
2	1426
2	1432
3	1434
2	1338
3	1440
4	1441
2	1356
3	1445
0	1439
1	1417
4	1446
3	1450
0	1451
3	1452
3	1459
3	1460
3	1474
-1	1463
0	1478
0	1482
3	1483
3	1484
0	1486
4	1288
0	1437
3	1497
3	1498
3	1505
2	1506
-1	1469
