Cluster	Id
2	3929034
2	4260995
-1	3588191
1	5240397
0	2327689
2	4950397
2	1705099
0	36943
2	700504
0	4588687
3	4400793
0	2851994
3	1571954
2	5112992
0	2206433
1	3731046
2	4752546
1	5384776
0	525482
0	3638447
1	3217973
0	820402
0	2196658
2	1988332
0	4818101
1	5445739
0	885945
2	1493672
0	1246400
2	4269884
0	3671234
2	4901917
0	3048643
2	1049794
-1	4376681
2	1776610
0	2098379
3	188551
1	4228302
2	255470
0	4999469
-1	4619544
2	394449
2	858998
2	4238046
0	3540178
2	622449
2	1311955
-1	763008
1	1433580
2	3933398
2	3714357
2	3320332
0	4654295
2	4082495
0	2983129
2	2557146
-1	1731925
0	2295004
2	1961296
2	3048674
2	3561681
-1	2712096
0	1803502
-1	5092546
2	5145841
2	308000
2	4195582
4	5438492
2	1105971
2	394499
1	3230228
1	4119561
2	2884876
3	5264256
0	2786573
0	4982031
2	3893024
0	394522
2	3707818
2	1377564
0	3784012
-1	5102480
0	3212574
2	4752675
0	3325454
2	1312041
0	4675831
3	3036263
0	1901868
1	1684839
2	4490542
0	2142171
-1	5018600
0	4916527
2	1649909
2	3507506
0	4152783
-1	487895
0	4556083
2	4386986
0	3933491
0	2721080
3	2524474
1	1975306
2	3726852
0	525648
1	440110
0	5277009
2	2660542
0	4523351
1	321739
0	4523358
1	4532572
0	4293982
-1	1423183
2	4130155
1	3455456
1	8719
0	1705326
4	2132139
2	4031861
3	940061
0	4550338
0	5277057
1	4081481
0	1705346
4	4251838
0	3212675
-1	4962961
2	4687251
-1	1362965
0	2750696
0	4162963
-1	5382799
0	1639832
1	2904482
1	4359579
2	297636
0	359973
2	230820
2	3148977
2	2586043
2	4621734
0	146237
0	3999149
2	4949422
-1	2938735
3	90443
2	886193
0	3134252
-1	2254197
2	3311039
0	1804018
-1	824427
0	1803717
-1	3555504
2	3507655
0	2467131
2	1603932
0	1476046
2	3720578
0	3999182
4	2754001
2	4401213
2	3990208
0	4073551
0	1519326
0	4883926
2	2688472
0	5176846
2	3003338
0	5211609
-1	2400144
0	3442142
2	5240172
-1	4130278
1	4943287
-1	730647
-1	1659609
0	4687341
1	3769860
0	1476081
0	4425204
3	429002
0	2754040
1	2509559
2	3343875
2	916026
1	94069
0	4692292
-1	2304303
0	4687364
2	3068649
0	3147272
2	3652092
0	787978
2	3648039
0	1869333
3	4620164
0	3409431
2	3150066
0	2164247
0	4097559
-1	4898148
3	3442200
0	5418823
0	1481595
0	2979599
2	1926866
0	5015069
0	755229
2	1349156
2	2393631
1	3727257
2	820770
0	2493701
2	3255201
2	727256
2	2994277
0	3402337
0	3405490
2	1836613
2	2590243
3	3136904
-1	34693
0	3212837
0	919075
1	1419758
3	525863
0	2660518
1	3215995
0	4277303
2	3314650
0	2295334
0	4639614
0	1958569
2	628833
3	3114545
0	1707170
2	599514
2	2770708
0	3524807
1	5342775
1	5426084
2	1969317
0	2164287
2	4819300
0	5253939
0	2721350
1	2572858
0	5277255
2	329291
0	4044656
1	511390
0	4785745
2	2187359
2	4523603
1	4928470
1	4547610
0	2950739
2	1826376
1	1574487
2	3556886
2	2291898
0	2559050
0	3737177
1	5262094
0	3671642
1	3838375
0	2655836
1	2852447
2	2650890
0	4192403
0	3507811
2	1843265
2	2492009
0	3199144
4	1728971
2	4654702
2	2064368
-1	4713864
0	5211759
4	3752187
0	329336
0	3802745
2	4097657
2	2256264
0	2011466
0	3540600
-1	5484641
0	3442301
2	2815151
1	3540606
4	356009
-1	2758689
-1	4580862
0	3835518
3	1285139
2	34430
2	3311860
1	4363317
1	1902211
1	1848139
2	3082538
2	1361332
0	4523652
-1	4157504
2	5015173
0	1280952
-1	4973725
2	4589190
2	3745616
-1	3357605
0	4425349
2	3695042
0	4785806
0	5047953
2	5020821
0	1214099
-1	5343415
0	1443478
2	4634259
0	2754216
2	2243240
0	984749
-1	5038529
0	624305
-1	2905092
2	4622003
2	280948
3	3150240
0	5080758
2	3999420
1	3416564
2	1443526
0	3986523
4	408105
1	3835594
1	539323
2	5485811
1	4163278
0	1756494
2	1694175
0	1456364
2	1935055
-1	3057342
2	22353
2	5375703
0	288636
1	200203
0	4261594
2	1541851
0	1303477
2	2787035
-1	473305
0	4035238
0	329438
-1	1113093
0	4261606
2	3855267
0	1443565
2	2918126
1	3633329
2	1229632
2	1443568
0	2449946
3	4353458
0	1771248
2	465008
0	1378034
2	5310197
0	4053918
-1	3458582
2	2983674
4	2379654
0	1231855
0	2492163
2	1856793
0	2492168
2	1859323
2	3606290
-1	1175352
0	2594270
0	3016470
2	3798211
0	526106
3	1406417
2	4785946
0	2154648
2	755486
0	3962495
-1	626481
0	1115935
2	3131187
2	4949791
2	4485833
0	2197292
-1	3874183
0	3213106
3	5122010
0	2950963
2	2253963
1	5179193
-1	1820810
2	1883368
0	2623294
2	4253571
2	2230087
3	1633437
0	285591
0	1345352
-1	4127309
0	1574733
2	4228950
2	423889
3	496455
0	1148761
3	3084555
0	690012
1	370604
2	4687714
1	864565
0	4283334
2	5146470
0	1365599
2	3540842
0	567193
-1	4123804
0	2000750
2	3409774
0	3456735
-1	3227170
0	4327280
0	2754416
0	395121
1	981417
0	919416
2	1148793
2	3784772
1	4949882
0	2823262
-1	2070882
-1	1116028
2	3396756
2	199448
4	4024941
2	325541
0	4814277
0	1865191
0	4868421
4	1378324
2	1489741
0	3687441
0	359521
2	4484465
2	622071
-1	1410950
0	1658118
-1	3143383
-1	2892163
3	1181575
0	2438448
2	114928
2	668125
0	1542021
4	1299514
0	461857
1	4770279
0	4373805
2	2257873
2	4307488
0	5073518
0	2218693
0	3966863
1	1587799
0	34704
0	3049362
3	5381555
2	5048210
0	1205609
-1	5080981
2	916076
1	5484453
2	5164110
1	4772321
0	1612657
0	3161463
0	1878615
2	1890040
-1	657302
1	2815112
2	3699182
2	2664654
2	3166213
0	4498885
0	4803771
1	2931925
2	3672477
2	4786078
4	2713734
4	677630
-1	4556703
0	3977168
0	1971817
0	122909
0	2838035
3	4605172
0	677222
4	3514471
0	372698
2	1504513
2	3918774
0	1607582
1	5429462
1	3442595
2	216658
1	1736618
0	2348909
0	3606439
1	1995555
0	3180464
1	2009440
0	985012
1	4515745
2	4425655
0	3626390
2	4786105
0	3715034
2	2000828
2	3777529
2	3481754
1	1279933
1	2371335
0	2048342
2	1720332
1	4327360
0	897168
2	1411010
1	5217449
0	4337348
2	5507014
-1	1340328
1	3871860
0	2066374
2	218073
0	3082184
0	3901385
0	821197
1	56869
0	853966
2	398794
3	1607632
2	1102653
0	109593
2	4706641
0	1594451
0	4556753
-1	626470
-1	3573715
-1	1386578
-1	5154552
0	329684
2	4884686
2	4392916
2	3323322
2	4655063
3	1467956
0	4825236
1	5375959
-1	2620967
-1	4404141
-1	4710920
0	1181661
1	3437300
0	2721761
3	148136
0	2066415
-1	2520577
2	100342
2	5040011
3	1470633
0	5310456
2	4619087
1	4884476
0	2737006
3	1950701
0	823000
2	3966975
2	2056420
-1	1749587
0	3442690
2	4367399
0	1542146
3	1955393
-1	4851723
-1	3882145
-1	432120
4	1718203
0	3901453
2	935816
0	788497
2	3341159
0	1247250
1	2639189
0	3943102
0	1796210
2	4399744
0	67608
-1	1604177
0	4163609
3	1604861
0	4917279
0	624671
-1	3364267
0	2656302
-1	1363427
0	329778
2	2006210
2	3967029
0	3149960
0	624700
1	2109
0	4021013
-1	462251
3	5277763
0	801085
1	5385298
2	3921514
2	467500
0	755782
1	2295998
0	4720711
2	1429761
2	3147850
2	1798912
2	1052352
0	4032588
1	3508303
2	1603120
1	1063977
1	1119189
2	3410000
0	2141128
2	2765836
4	2000977
2	5064289
4	2256050
-1	2437917
0	770531
1	1149008
2	3514741
2	214782
2	709381
0	3770459
2	160822
0	4327520
4	3109514
0	1607782
3	4229226
-1	5053473
0	2202334
0	3431849
0	2820204
2	770905
2	3770480
0	4486378
1	2905445
2	2623607
1	1138319
0	5441656
2	3054975
0	4524153
1	2047878
2	2492544
1	3411004
2	3764372
0	4819078
2	4917388
1	3872960
0	2562641
0	2249631
3	5399761
0	2796087
0	2329484
0	4622480
1	4117380
3	4327568
1	5378017
2	4466286
2	3234741
2	2104537
0	5015701
-1	5438851
2	2197659
2	292117
0	4491424
-1	4200987
0	2791236
3	4980401
0	1243696
1	4524212
2	662497
2	264372
2	5022332
2	2735673
2	2730155
0	3002457
0	864717
1	5239741
2	2354993
-1	2542559
0	5408960
2	2243672
2	952514
1	1833675
0	5140720
0	2820291
0	1444039
4	2367335
-1	3358166
0	4262095
1	1357638
2	198868
1	248373
0	4595044
2	4950229
0	4206129
1	3986677
3	2164951
2	1253645
2	546773
2	3559740
2	4458713
0	3076600
2	1194988
0	2296029
-1	238604
0	2263261
2	1280234
2	2385426
0	4691426
0	2197744
3	4844777
2	1313009
4	1678743
0	1815321
0	4098292
1	2428472
0	2494633
0	3246328
2	761043
0	3246335
3	2787588
1	246776
2	3401668
-1	4518892
0	4634255
0	2984205
3	4803711
2	4851986
2	1135033
1	1149209
0	5217601
-1	335136
2	578038
3	1968410
2	4443991
2	4366076
2	4577534
2	4991904
2	1772295
0	501233
0	3321709
0	2525735
0	707804
0	706881
0	1701686
0	4629134
0	5330730
0	1528580
0	207599
0	992842
0	887587
0	2341968
0	663808
-1	2880705
0	925698
0	80614
0	1203117
0	2685819
0	5496045
0	2176723
2	1373281
0	4597774
0	5121223
0	3547425
0	3731025
0	972552
0	4381980
0	3743004
0	5002296
0	3765477
0	2907773
0	4579649
0	4092701
0	3037677
-1	801776
2	2248782
2	2133974
0	624926
1	2951456
2	5489959
2	174314
0	5114151
0	4557096
2	4205189
0	2492714
2	4622635
0	2518559
3	2104469
1	1219835
2	985391
0	1801698
0	4557110
2	2959725
0	1673527
-1	1127119
2	2001207
2	1760118
-1	1548170
1	723264
0	2275217
3	837992
0	767175
3	2066752
2	982269
0	2505109
0	5254712
2	3095827
0	2328901
-1	3054848
2	4032844
0	5413706
0	4098382
0	4360529
0	2001233
0	2361682
-1	902397
0	559450
0	2754907
2	3503822
0	2575031
0	657763
1	4611762
-1	494413
0	5048680
2	2118896
0	2099563
2	2537606
1	919926
2	954714
1	4297903
2	5287335
-1	2499254
2	4098430
0	3625148
2	625026
2	3103224
0	5474692
1	4673511
2	4852104
2	280573
1	3910801
0	4163977
1	1849453
0	2296214
2	2845962
0	5474713
2	4506990
0	559517
0	5147044
-1	4295077
4	2048193
1	3354086
1	211248
0	3087095
2	446518
-1	690601
-1	3650956
-1	1799959
0	100783
1	4458932
-1	3077036
0	5260588
0	4512839
2	625077
-1	3564262
0	4786614
3	2558631
0	2591167
0	4032967
0	3181004
2	2820559
0	4357594
0	4524496
2	5016017
2	753053
0	4983250
-1	1678341
0	440669
3	3609738
1	3162203
2	2084993
-1	5474794
-1	2767035
1	362988
2	4613687
2	1481829
1	383527
0	2296302
2	1726848
0	2984433
0	1935869
-1	3426260
0	1116669
3	4311195
0	4491785
-1	1209374
1	854538
1	3237879
0	3279372
2	3811985
0	3803660
2	115840
0	5016091
-1	3579801
0	2589
1	2225575
3	4000286
0	3347433
0	4756889
0	196085
2	3709828
0	4655647
3	2974497
0	4622883
2	4262440
3	964365
-1	251546
0	3443242
1	3901998
1	648350
0	585717
1	1571454
0	264754
2	3489422
-1	1608264
-1	1174752
-1	4482944
0	4463371
0	1968713
2	381229
1	4557387
2	5459760
-1	2835585
1	1623016
0	789068
1	3050068
1	1446290
0	1229428
0	1782763
0	2198102
2	4527791
0	199260
-1	4749046
2	100958
0	1714269
0	952927
2	425468
0	2296422
0	1411690
3	2749885
0	2394732
1	4285969
2	1215099
1	2639545
0	2048069
2	4393598
-1	670720
1	1903231
0	1613234
0	4649155
0	3377793
1	451557
1	2984582
0	1263920
-1	824600
-1	4112406
-1	1280651
-1	1362132
0	5048976
4	4229782
2	4711746
2	800605
0	5041606
0	2615993
0	2012129
2	748867
2	4257278
0	2714378
0	5265654
0	2043313
-1	1265872
0	887456
3	855784
0	5329765
0	293509
2	1528962
0	3327814
0	2423186
-1	957125
2	5477841
-1	3327340
-1	5360369
0	2600127
0	4318444
2	3256036
0	3837973
0	1608360
-1	1070520
-1	1149611
0	1758188
-1	2024932
2	5493224
0	3787438
0	2483768
0	3497959
0	2415542
0	5151616
0	2307867
0	202899
2	232108
1	888966
-1	1859639
0	2689714
-1	3218990
0	854710
2	4164283
2	1204445
2	4564010
2	1936064
2	5393429
0	2596695
0	395971
0	1444551
1	2239176
2	3771083
2	4677333
0	101069
1	2525904
2	3870205
4	1851073
2	3738342
0	2001620
3	2099927
0	548182
2	2025423
0	940679
0	3281209
2	3541720
0	843014
0	3640026
3	975537
0	3607263
0	2427615
0	277713
0	559848
2	1772265
3	2312930
1	3595102
2	542268
0	3122112
2	3982533
2	1685554
2	1913428
0	3214066
3	4218668
0	1706739
1	1527457
0	5507829
3	2788086
0	4336285
0	2614738
0	5016310
2	5209168
0	3672823
2	214927
0	1837823
2	3481988
2	5081856
0	5011617
3	5361134
4	3967745
1	1846806
4	4559387
0	824911
2	5288074
-1	506169
0	4000520
2	1204973
0	133895
0	2034444
0	2828
2	3574543
0	1206272
1	68507
0	2624272
0	4557585
3	4924879
0	4360979
1	4253565
0	4623124
0	4976128
2	4590365
2	4529332
-1	2473547
2	363296
1	3651392
0	3410725
0	5507880
4	5184627
2	2591529
2	2749452
-1	3369966
0	4885289
2	2231083
2	1108796
2	1357813
0	1379121
2	2535994
0	1411890
3	175074
2	4918067
1	2286945
3	4232302
-1	1084212
-1	4278098
2	240280
2	5148557
-1	1023368
0	2071592
2	2706851
2	4426559
0	773753
2	1689291
0	5212993
0	5081924
2	2132805
3	40275
0	4696478
2	2591558
0	2634711
2	5292596
4	2165578
2	3045815
0	5238098
2	5459747
2	4000589
2	4695924
1	2186740
2	5286096
0	2845973
-1	3782523
1	5023055
2	875497
2	2707164
2	388058
2	3763175
0	3246930
2	1248085
2	1487186
0	2722825
0	2886488
2	5066431
2	4983647
2	2155702
2	1182569
3	4500167
0	5049193
1	4848034
2	4066155
2	4054628
2	3345259
2	91665
3	4838084
-1	4754286
-1	253449
-1	833775
3	4885366
0	635189
3	1635144
1	3708424
0	1552543
0	3935097
1	2683170
0	2591610
2	663149
1	3312508
-1	419359
0	4077090
0	5016446
4	2077178
2	4426627
1	3680522
0	4131724
2	760432
0	2821010
2	1265043
1	1706899
1	1074390
0	3304105
0	4364860
2	3476379
2	4288408
4	1383696
0	1326883
0	3312545
0	4164522
4	2427839
0	1095781
0	1461882
0	5139151
0	3063442
3	1982533
-1	4918208
-1	3143080
0	4656071
-1	3650501
2	4950984
2	3558997
0	3882902
2	5098734
0	5303949
2	363470
0	2423082
3	1441298
1	822224
0	3840775
3	1469834
2	1146781
2	756694
2	3025293
2	5016535
0	2716812
-1	127993
0	166873
2	4642159
0	3738594
2	5082082
1	3055488
0	1328213
0	3345382
0	5442545
3	2051873
-1	658430
0	4008350
2	439849
2	5369270
0	5423454
2	3415556
2	4853523
0	2160258
2	818371
2	1339568
0	1444864
0	4393989
3	3512129
0	5344261
0	1903627
2	5203932
0	5147660
2	579533
-1	4656141
0	2632697
3	4825911
0	3297748
1	3516142
2	3485618
0	3077135
0	986129
2	2315535
0	3542038
1	3312666
2	3152230
0	4979687
0	5409826
3	777274
0	3607595
-1	2575655
0	4000814
0	560175
0	2067505
1	3914592
1	5475380
1	210982
2	5042230
2	5185279
1	1444920
1	2977098
3	1995433
0	2996261
0	1018944
1	4754499
0	1816919
1	1904901
1	2333288
2	2853962
0	3592337
2	2034765
2	2246629
0	2821198
0	3738703
-1	1452359
0	855119
0	101457
3	3962664
2	2591829
2	2019658
1	1055165
0	1903716
-1	2233461
0	1313895
4	1068113
0	986216
-1	4873930
1	1641580
4	3712632
0	5107835
0	2985074
1	4401895
0	4099188
2	3889397
2	1018998
1	4342721
1	897229
2	5409911
0	5357315
2	3509371
2	3197
2	1488796
2	2591871
0	2910025
-1	5158704
2	3116164
0	1731761
4	237059
0	4885645
1	5504496
3	1412237
0	4275804
-1	4718586
0	3237987
1	5278869
3	2358924
0	2168713
2	381786
2	1013177
2	326410
2	2909267
2	4495057
0	2857594
0	3678968
0	1608859
2	986268
2	2913677
2	1663223
2	5213341
0	1122523
-1	3033387
-1	4689057
-1	4191140
3	1895010
2	3589482
2	2541595
0	1445400
2	5311650
2	415293
0	4997484
2	4230312
0	3092813
2	1608872
2	3878965
0	4885678
2	1649480
0	1306050
2	3574963
-1	4406337
2	134323
3	4118882
0	298165
-1	2520363
0	2755765
0	3017915
1	167103
0	3542209
2	1977149
0	4787401
0	363721
1	4007993
0	1051858
0	199895
2	573304
0	5213402
4	2653983
1	2788578
0	2708708
2	4046499
1	3058585
2	1576164
1	2145659
2	3228792
0	4558053
0	4361447
3	1346792
2	74727
3	2668850
0	906288
2	5115114
0	975084
-1	1788476
0	5082352
0	298232
-1	5394867
2	4263165
-1	1057916
0	560550
2	4656384
2	2201057
2	2264320
3	2978543
3	3747954
3	3443975
2	4908462
2	4542311
3	3663175
0	182443
-1	3476746
2	835121
0	4151725
-1	1598271
1	1730150
1	1731276
0	806736
1	2128405
