 X Y
4197 9.527179 52.213543
2625 10.675888 50.51639
65 -16.09783 -4.0443482
79 -15.675567 -4.6699414
246 74.48723 -36.436234
248 13.37198 -35.750072
267 -16.918907 -4.231027
371 31.175163 -18.353914
458 31.175163 -18.353914
528 -16.924753 -4.266027
387 54.097313 19.410185
390 35.32877 44.370445
836 -16.821323 -4.8340087
795 46.70222 35.043694
894 65.960815 9.936383
975 46.793625 35.654106
976 -16.125448 -4.0092516
950 22.314518 63.66476
1030 -8.020472 -62.073437
1112 13.671527 -34.527546
1136 -16.899303 -4.783245
1137 -16.937078 -3.951931
923 25.660793 29.951143
1090 22.314518 63.66476
1294 -16.760544 -4.8417354
1295 51.841423 -2.8161435
1299 -57.451645 8.720755
380 19.937012 6.0974317
1305 -16.715542 -3.5849
1314 -16.490398 -3.6014035
95 50.388763 0.6618428
1337 -8.020472 -62.073437
1328 47.22637 35.77463
1361 -16.938452 -4.0421634
1362 44.982258 -36.055317
1382 -16.301695 -4.8685184
1393 10.575806 18.323893
1405 -16.919634 -4.247682
1406 23.133451 63.80904
1414 -16.321615 -4.8697476
1426 14.243559 -35.041428
1432 31.175163 -18.353914
1434 -16.94294 -4.287568
1338 14.9413595 -34.91187
1440 -16.918858 -4.2297945
1441 -8.020472 -62.073437
1356 31.175163 -18.353914
1445 -16.438904 -3.6168942
1439 6.219989 32.96208
1417 21.78908 65.29538
1446 -8.020472 -62.073437
1450 -16.970743 -4.504495
1451 -10.922752 53.68945
1452 -16.899307 -4.783246
1459 -15.752196 -4.7612734
1460 -15.729863 -4.401621
1474 -16.769047 -4.8400006
1463 -58.24534 55.70292
1478 38.192917 21.925127
1482 -7.0564184 32.17818
1483 -16.112705 -4.847913
1484 -25.383347 1.0627303
1486 -0.8556032 39.785774
1288 -8.020472 -62.073437
1437 37.723827 48.00034
1497 -16.718227 -3.585757
1498 -10.01655 -7.514508
1505 -12.859798 4.2412057
1506 31.175163 -18.353914
1469 -60.67587 49.374565
1517 -11.535901 54.038155
1523 -11.012488 -13.902671
1534 -24.79392 -12.518098
1539 57.659233 18.532362
1540 -14.277672 -2.3506021
1547 -22.76444 -9.008834
1548 57.65467 18.533577
1544 74.486145 -36.435013
1552 -15.978966 -7.606758
1558 -14.277672 -2.3506021
1560 -14.277672 -2.3506021
1561 -6.281615 4.8072042
1581 -22.76444 -9.008834
873 29.13053 -17.664175
1594 -10.01655 -7.514508
1601 -19.152304 1.9422367
1605 -6.4532485 34.229588
1492 67.37687 -12.581199
1613 -12.859798 4.2412057
1597 31.175163 -18.353914
1515 29.668121 -16.807133
1348 23.885204 32.096706
1627 -6.281615 4.8072042
1625 31.175163 -18.353914
1640 -12.859798 4.2412057
1644 42.98403 -36.36017
1651 -57.780117 9.438361
1654 -60.54657 45.582466
1655 -8.616193 32.824226
1672 27.054333 9.183232
1657 -2.719498 68.98607
1649 -15.978966 -7.606758
1678 -19.152304 1.9422367
1691 -19.708544 -3.9293246
1694 -15.978966 -7.606758
1699 -11.012488 -13.902671
1709 -23.22644 -16.302872
1721 31.175163 -18.353914
1724 31.175163 -18.353914
1732 -14.277672 -2.3506021
1733 -21.035547 73.05912
1734 -15.978966 -7.606758
1741 -8.020472 -62.073437
1755 22.661093 65.56386
1784 13.371976 -35.750057
1786 31.175163 -18.353914
1765 66.292564 10.0982275
1796 -19.708544 -3.9293246
1797 13.37198 -35.750072
1795 -19.708544 -3.9293246
1800 -22.399893 44.178772
1806 -10.458181 53.782455
1095 -8.658279 53.32973
1812 -10.01655 -7.514508
1808 43.048134 -35.10819
1823 -8.020472 -62.073437
1834 -57.780117 9.438361
1836 -15.978966 -7.606758
1838 20.058237 5.152439
1857 31.175163 -18.353914
1869 -19.152304 1.9422367
1879 0.5213842 40.75967
1894 51.61568 -2.8027053
1884 31.175163 -18.353914
1897 -22.76444 -9.008834
1900 44.982258 -36.055317
1907 -56.33744 9.277805
1926 -10.01655 -7.514508
1918 -60.67587 49.374565
1928 -1.0028242 -3.1563768
1933 0.011787172 72.26476
1951 45.013832 2.2031524
1957 0.52138644 40.759674
1958 -7.5602994 -59.625214
1959 -6.923258 -60.299427
1960 -7.142258 -59.742405
1964 84.23953 3.5332856
1898 31.175163 -18.353914
1653 38.59777 48.938343
1977 20.058237 5.152439
1912 74.82884 5.2200766
1970 31.175163 -18.353914
1978 23.133451 63.80904
1983 -26.664324 -3.848122
1814 -57.780117 9.438361
1981 49.099937 0.13986112
1993 23.133451 63.80904
2005 -15.978966 -7.606758
1973 -39.432327 46.251812
2004 36.768574 47.347916
2025 -14.277672 -2.3506021
2029 -22.76444 -9.008834
2039 -19.599813 -12.3513775
2065 -56.284344 8.486167
2070 65.64117 30.383799
2074 -14.277672 -2.3506021
2087 52.053097 -2.9754553
2089 51.09096 1.0681729
2109 -19.152304 1.9422367
2052 -57.767826 7.681497
2129 -8.020472 -62.073437
2117 -8.020472 -62.073437
2170 -26.664324 -3.848122
2121 11.254038 17.639536
2172 -14.277672 -2.3506021
2177 -19.152304 1.9422367
2190 -12.859798 4.2412057
2191 -12.859798 4.2412057
2215 -14.277672 -2.3506021
1720 67.035416 -13.274249
2247 -4.7040896 -13.566358
2248 -14.277672 -2.3506021
2264 -19.152304 1.9422367
2302 -14.277672 -2.3506021
2314 -7.8059874 -1.7821021
2299 -46.594296 25.368433
1562 28.344984 27.306128
2334 43.172287 -35.570557
2340 -19.599813 -12.3513775
2359 -5.49183 33.40837
2110 15.698886 43.67684
2390 31.175163 -18.353914
2393 -8.020472 -62.073437
2315 61.55964 17.052826
2398 84.516716 4.6833224
2356 31.175163 -18.353914
2408 27.054327 9.183233
2428 -8.020472 -62.073437
2432 -15.978966 -7.606758
2433 -8.020472 -62.073437
2446 31.175163 -18.353914
2449 -36.082314 48.1649
2450 -16.982094 -17.167273
2464 -7.7261443 52.346676
2463 31.175163 -18.353914
2453 -8.020472 -62.073437
2481 -10.01655 -7.514508
2482 -23.22644 -16.302872
2483 -8.020472 -62.073437
2495 21.754457 64.17633
2496 38.59777 48.938343
2506 -19.708544 -3.9293246
2509 -19.152304 1.9422367
2521 19.139942 5.776066
2527 -26.664324 -3.848122
2513 31.175163 -18.353914
2528 -18.29375 9.105081
2531 -57.103817 8.576037
2304 36.72623 46.445774
2547 -22.76444 -9.008834
2551 -19.708544 -3.9293246
2558 -3.4702914 68.53866
2577 -25.383347 1.0627303
2579 -26.664324 -3.848122
2594 42.479443 3.166106
2595 -14.277672 -2.3506021
2596 -12.859798 4.2412057
2530 -19.708544 -3.9293246
1645 14.682127 -34.95321
2613 -14.277672 -2.3506021
2614 47.60596 35.02567
2616 -4.7040896 -13.566358
2538 34.20567 23.536146
2646 -60.67653 49.37416
2653 -14.277672 -2.3506021
2655 31.175163 -18.353914
2663 31.175163 -18.353914
2118 38.19153 21.925083
2687 -10.01655 -7.514508
1781 -29.020187 5.028965
2587 30.661707 -16.329702
2715 -14.277672 -2.3506021
2726 -11.483888 54.24641
2723 43.172287 -35.570557
2600 12.488233 47.941296
2769 29.81325 -16.687502
2312 0.5206899 40.75852
2773 -27.965265 -13.888966
2647 15.165838 44.38812
2775 41.925533 20.909853
2786 -15.978966 -7.606758
2789 -4.9093313 32.73283
2791 -12.859798 4.2412057
2797 -19.152304 1.9422367
2780 54.087387 19.377598
2803 -38.124386 47.49356
2654 -31.590233 37.717373
2609 -56.547062 7.9996715
2819 -36.518364 49.353878
2820 -15.978966 -7.606758
2818 30.661707 -16.329702
2448 -6.264909 -61.021824
2785 -26.664324 -3.848122
2379 29.741701 -16.74024
2829 7.2977414 20.781174
2834 -14.277672 -2.3506021
2844 30.142693 -16.4913
2872 30.142693 -16.4913
2909 29.080435 -18.539042
2927 -14.277672 -2.3506021
2928 -36.08246 48.1646
2947 -15.978966 -7.606758
2971 31.175163 -18.353914
2972 -16.982094 -17.167273
2899 -14.277672 -2.3506021
2976 -8.020472 -62.073437
2982 31.175163 -18.353914
2983 -19.708544 -3.9293246
2985 -15.978966 -7.606758
2986 -12.859798 4.2412057
2989 -19.152304 1.9422367
2772 42.98403 -36.36017
2990 -26.664324 -3.848122
2725 13.9359865 46.008617
2980 31.175163 -18.353914
3008 -6.263445 -61.01972
3006 66.14247 10.025827
3021 31.175163 -18.353914
2183 -19.152304 1.9422367
2563 -57.194904 7.8972387
3028 -19.708544 -3.9293246
415 49.983074 19.868515
3037 -39.976093 45.91583
3041 31.175163 -18.353914
3051 -16.958471 -4.4529185
3053 -12.859798 4.2412057
1462 67.035416 -13.274249
3064 -10.01655 -7.514508
3067 -8.55667 -60.042477
2963 -42.348583 23.243898
2777 54.090027 19.387686
3095 -19.152304 1.9422367
3105 -43.487335 23.79811
3106 27.054327 9.183233
